[2026-07-18T04:37:55Z] [INFO] BGTask license-check scheduled untuk 7 hari ke depan
[2026-07-18T04:37:56Z] [INFO] AppState setup dimulai
[2026-07-18T04:37:56Z] [INFO] Tidak ada session tersimpan — perlu login
[2026-07-18T04:37:56Z] [INFO] AppState setup selesai — boothReady: false
[2026-07-18T04:37:56Z] [INFO] BoothConfig: load from local CoreData
[2026-07-18T04:37:58Z] [INFO] R2 upload latest sukses → https://api.haispaceproject.my.id/r2-media/haispace-logs/ipad-latest.txt
[2026-07-18T04:37:58Z] [INFO] R2 upload latest sukses → https://api.haispaceproject.my.id/r2-media/haispace-logs/ipad-latest.txt
[2026-07-18T04:38:08Z] [INFO] QR Payload diregenerate (expires in 5 min)
[2026-07-18T04:38:09Z] [INFO] TCP Listener ready pada port 55123
[2026-07-18T04:38:09Z] [INFO] Memulai MPC advertising dengan serviceType: haibooth (eventId: TEST-EVENT-6404)
[2026-07-18T04:38:13Z] [INFO] R2 upload latest sukses → https://api.haispaceproject.my.id/r2-media/haispace-logs/ipad-latest.txt
[2026-07-18T04:38:14Z] [INFO] Koneksi P2P beralih ke mode: TCP Router
[2026-07-18T04:38:14Z] [INFO] Koneksi TCP klien diterima
[2026-07-18T04:38:14Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:14Z] [INFO] [LivePreview] Aliran video aktif — Resolusi: 1280x720 (16:9 Landscape), Mode Cermin (Mirroring): AKTIF
[2026-07-18T04:38:15Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:15Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:16Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:16Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:16Z] [INFO] Koneksi aktif terdeteksi. Menjaga hosting TCP & MPC tetap berjalan.
[2026-07-18T04:38:17Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:17Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:18Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:18Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:19Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:19Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:20Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:21Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:21Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:22Z] [INFO] MPC service type set: hs-eventtest001
[2026-07-18T04:38:22Z] [INFO] Sesi baru dibuat: 0323556A-75B0-433F-AA52-EAAD2F7F47E0 — H — The Mini
[2026-07-18T04:38:22Z] [INFO] Pesan sessionStart terkirim via TCP
[2026-07-18T04:38:22Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:22Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:23Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:23Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:24Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:24Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:25Z] [INFO] Sesi dimulai: 0323556A-75B0-433F-AA52-EAAD2F7F47E0 — Tamu: H
[2026-07-18T04:38:25Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:25Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:26Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:26Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:27Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:27Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:28Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:28Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:29Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
[2026-07-18T04:38:29Z] [INFO] H.264 VideoFormatDescription berhasil dibuat
